seed,seatOrder,botJ1,botJ2,winner,winnerFaction,reasonCategory,rounds,blocked,firstPlayerWon,dominationJ1,dominationJ2,unitsLeftJ1,unitsLeftJ2,producedJ1,producedJ2,spentJ1,spentJ2,unspentJ1,unspentJ2,passiveJ1,passiveJ2,decisiveUnit
greenwar-v0.2.6-114,2>1,random,random,1,Nourricières,tiebreak-ressources,6,0,0,1,1,5,5,22,9,10,6,17,8,0,0,carotte
greenwar-v0.2.6-115,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,1,5,4,24,15,10,8,19,12,0,0,nenuphar
greenwar-v0.2.6-116,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,2,2,6,5,24,11,12,8,17,8,0,0,carotte
greenwar-v0.2.6-117,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,2,3,8,5,21,17,10,8,16,14,0,0,roseau
greenwar-v0.2.6-118,2>1,random,random,2,Hydrophytes,domination,5,0,1,1,6,6,7,21,12,10,8,16,9,0,0,roseau
greenwar-v0.2.6-119,2>1,random,random,2,Hydrophytes,domination,5,0,1,0,4,6,7,22,11,10,8,17,8,0,0,roseau
greenwar-v0.2.6-120,2>1,random,random,2,Hydrophytes,domination,6,0,1,2,4,7,7,17,16,10,12,12,9,0,0,roseau
greenwar-v0.2.6-121,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,1,1,7,4,16,8,10,6,11,7,0,0,carotte
greenwar-v0.2.6-122,2>1,random,random,2,Hydrophytes,domination,6,0,1,1,4,7,6,17,14,8,8,14,11,0,0,roseau
greenwar-v0.2.6-123,2>1,random,random,2,Hydrophytes,tiebreak-unites,6,0,1,2,2,6,7,21,15,12,10,14,10,0,0,roseau
greenwar-v0.2.6-124,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,3,6,6,17,17,10,10,12,12,0,0,algue
greenwar-v0.2.6-125,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,2,2,8,5,24,15,12,12,17,8,0,0,carotte
greenwar-v0.2.6-126,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,7,4,20,14,10,8,15,11,0,0,roseau
greenwar-v0.2.6-127,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,2,3,6,7,18,16,8,12,15,9,0,0,roseau
greenwar-v0.2.6-128,2>1,random,random,2,Hydrophytes,domination,5,0,1,2,4,5,5,15,14,4,8,16,11,0,0,roseau
greenwar-v0.2.6-129,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,7,5,24,17,14,10,15,12,0,0,algue
greenwar-v0.2.6-130,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,2,6,6,19,17,10,10,14,12,0,0,roseau
greenwar-v0.2.6-131,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,7,6,20,17,12,8,13,14,0,0,roseau
greenwar-v0.2.6-132,2>1,random,random,2,Hydrophytes,domination,5,0,1,1,4,6,6,14,11,8,8,11,8,0,0,roseau
greenwar-v0.2.6-133,2>1,random,random,2,Hydrophytes,domination,5,0,1,1,4,5,5,14,11,6,10,13,6,0,0,nenuphar
greenwar-v0.2.6-134,2>1,random,random,2,Hydrophytes,domination,5,0,1,0,4,7,7,19,12,10,10,14,7,0,0,roseau
greenwar-v0.2.6-135,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,5,6,23,14,8,10,20,9,0,0,roseau
greenwar-v0.2.6-136,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,2,3,8,6,23,15,10,8,18,12,0,0,roseau
greenwar-v0.2.6-137,2>1,random,random,2,Hydrophytes,domination,5,0,1,2,4,6,6,21,12,8,6,18,11,0,0,roseau
greenwar-v0.2.6-138,2>1,random,random,2,Hydrophytes,domination,5,0,1,2,4,6,5,16,11,6,8,15,8,0,0,roseau
greenwar-v0.2.6-139,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,1,5,6,16,12,10,10,11,7,0,0,roseau
greenwar-v0.2.6-140,2>1,random,random,1,Nourricières,tiebreak-ressources,6,0,0,1,1,6,6,25,15,10,10,20,10,0,0,carotte
greenwar-v0.2.6-141,2>1,random,random,2,Hydrophytes,domination,6,0,1,1,4,7,5,19,9,12,8,12,6,0,0,nenuphar
greenwar-v0.2.6-142,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,6,6,18,16,10,10,13,11,0,0,roseau
greenwar-v0.2.6-143,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,2,3,8,8,18,14,12,10,11,9,0,0,roseau
greenwar-v0.2.6-144,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,3,2,8,5,22,11,10,6,17,10,0,0,carotte
greenwar-v0.2.6-145,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,7,7,19,13,10,10,14,8,0,0,nenuphar
greenwar-v0.2.6-146,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,5,5,19,18,10,10,14,13,0,0,roseau
greenwar-v0.2.6-147,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,8,5,23,14,12,8,16,11,0,0,roseau
greenwar-v0.2.6-148,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,7,6,19,12,10,10,14,7,0,0,nenuphar
greenwar-v0.2.6-149,2>1,random,random,2,Hydrophytes,domination,6,0,1,2,4,6,7,18,15,8,12,15,8,0,0,roseau
greenwar-v0.2.6-150,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,2,7,5,27,17,12,10,20,12,0,0,roseau
greenwar-v0.2.6-151,2>1,random,random,2,Hydrophytes,domination,6,0,1,2,5,6,6,22,16,8,8,19,13,0,0,algue
greenwar-v0.2.6-152,2>1,random,random,2,Hydrophytes,domination,5,0,1,1,4,5,5,18,9,8,6,15,8,0,0,roseau
greenwar-v0.2.6-153,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,7,4,21,12,8,6,18,11,0,0,roseau
greenwar-v0.2.6-154,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,5,6,24,12,8,8,21,9,0,0,roseau
greenwar-v0.2.6-155,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,7,6,22,19,10,12,17,12,0,0,roseau
greenwar-v0.2.6-156,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,1,7,3,24,13,12,8,17,10,0,0,roseau
greenwar-v0.2.6-157,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,2,3,7,4,23,13,10,8,18,10,0,0,algue
greenwar-v0.2.6-158,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,6,6,18,18,10,12,13,11,0,0,roseau
greenwar-v0.2.6-159,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,8,8,22,16,12,12,15,9,0,0,roseau
greenwar-v0.2.6-160,2>1,random,random,2,Hydrophytes,domination,5,0,1,0,4,6,7,14,13,8,8,11,10,0,0,roseau
greenwar-v0.2.6-161,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,7,6,21,18,12,10,14,13,0,0,roseau
greenwar-v0.2.6-162,2>1,random,random,2,Hydrophytes,domination,5,0,1,1,4,7,7,17,12,10,10,12,7,0,0,roseau
greenwar-v0.2.6-163,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,2,2,8,5,26,8,12,8,19,5,0,0,haricot
greenwar-v0.2.6-164,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,1,1,7,5,21,13,12,10,14,8,0,0,carotte
greenwar-v0.2.6-165,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,1,1,7,4,23,13,14,6,14,12,0,0,tomate
greenwar-v0.2.6-166,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,2,3,6,6,23,11,12,8,16,8,0,0,roseau
greenwar-v0.2.6-167,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,3,2,7,6,23,12,8,8,20,9,0,0,carotte
greenwar-v0.2.6-168,2>1,random,random,2,Hydrophytes,domination,5,0,1,3,5,6,6,13,14,8,10,10,9,0,0,nenuphar
greenwar-v0.2.6-169,2>1,random,random,2,Hydrophytes,domination,6,0,1,1,4,7,7,18,12,10,10,13,7,0,0,roseau
greenwar-v0.2.6-170,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,7,3,19,16,10,6,14,15,0,0,nenuphar
greenwar-v0.2.6-171,2>1,random,random,2,Hydrophytes,domination,5,0,1,0,4,4,6,22,11,10,8,17,8,0,0,roseau
greenwar-v0.2.6-172,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,7,6,19,13,10,8,14,10,0,0,roseau
greenwar-v0.2.6-173,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,6,6,15,15,8,10,12,10,0,0,roseau
greenwar-v0.2.6-174,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,8,7,21,17,10,10,16,12,0,0,roseau
greenwar-v0.2.6-175,2>1,random,random,2,Hydrophytes,domination,6,0,1,2,4,6,6,17,11,8,8,14,8,0,0,roseau
greenwar-v0.2.6-176,2>1,random,random,2,Hydrophytes,domination,6,0,1,1,4,7,5,19,13,10,8,14,10,0,0,roseau
greenwar-v0.2.6-177,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,1,1,8,6,19,9,12,8,12,6,0,0,tomate
greenwar-v0.2.6-178,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,2,3,6,6,24,15,10,10,19,10,0,0,roseau
greenwar-v0.2.6-179,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,2,6,5,18,16,10,6,13,15,0,0,roseau
greenwar-v0.2.6-180,2>1,random,random,2,Hydrophytes,domination,5,0,1,1,4,7,6,14,11,8,8,11,8,0,0,roseau
greenwar-v0.2.6-181,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,6,6,22,11,10,8,17,8,0,0,nenuphar
greenwar-v0.2.6-182,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,2,3,6,5,17,13,8,8,14,10,0,0,roseau
greenwar-v0.2.6-183,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,2,1,6,6,23,8,12,6,16,7,0,0,carotte
greenwar-v0.2.6-184,2>1,random,random,2,Hydrophytes,domination,5,0,1,1,4,6,6,19,13,8,10,16,8,0,0,roseau
greenwar-v0.2.6-185,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,1,1,8,5,20,13,12,6,13,12,0,0,carotte
greenwar-v0.2.6-186,2>1,random,random,2,Hydrophytes,domination,6,0,1,2,4,8,6,24,16,14,10,15,11,0,0,nenuphar
greenwar-v0.2.6-187,2>1,random,random,2,Hydrophytes,domination,5,0,1,1,4,7,6,20,14,10,8,15,11,0,0,roseau
greenwar-v0.2.6-188,2>1,random,random,2,Hydrophytes,domination,5,0,1,0,6,5,7,15,11,4,8,16,8,0,0,roseau
greenwar-v0.2.6-189,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,3,7,5,23,14,12,8,16,11,0,0,nenuphar
greenwar-v0.2.6-190,2>1,random,random,2,Hydrophytes,tiebreak-unites,6,0,1,2,2,5,6,18,15,6,8,17,12,0,0,roseau
greenwar-v0.2.6-191,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,2,6,6,14,12,8,8,11,9,0,0,roseau
greenwar-v0.2.6-192,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,3,7,7,18,15,12,12,11,8,0,0,roseau
greenwar-v0.2.6-193,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,3,1,6,5,19,15,10,10,14,10,0,0,carotte
greenwar-v0.2.6-194,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,2,5,7,20,12,8,8,17,9,0,0,roseau
greenwar-v0.2.6-195,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,2,3,7,5,23,8,10,6,18,7,0,0,roseau
greenwar-v0.2.6-196,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,1,0,6,4,21,9,12,6,14,8,0,0,tomate
greenwar-v0.2.6-197,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,6,4,25,16,14,10,16,11,0,0,roseau
greenwar-v0.2.6-198,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,1,6,4,19,15,8,10,16,10,0,0,roseau
greenwar-v0.2.6-199,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,2,6,4,19,10,8,8,16,7,0,0,roseau
greenwar-v0.2.6-200,2>1,random,random,2,Hydrophytes,domination,6,0,1,2,4,5,5,17,12,6,10,16,7,0,0,roseau
greenwar-v0.2.6-201,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,6,6,16,16,10,12,11,9,1,0,nenuphar
greenwar-v0.2.6-202,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,1,1,6,5,15,21,6,10,14,16,0,0,carotte
greenwar-v0.2.6-203,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,2,5,4,20,13,8,6,17,12,0,0,roseau
greenwar-v0.2.6-204,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,2,1,6,5,14,11,10,10,9,6,0,0,carotte
greenwar-v0.2.6-205,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,2,6,6,24,18,12,12,17,11,0,0,nenuphar
greenwar-v0.2.6-206,2>1,random,random,2,Hydrophytes,domination,6,0,1,1,4,7,6,17,16,12,10,10,11,1,0,roseau
greenwar-v0.2.6-207,2>1,random,random,1,Nourricières,tiebreak-ressources,6,0,0,1,1,6,6,16,14,8,10,13,9,0,0,carotte
greenwar-v0.2.6-208,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,3,3,8,6,21,8,10,8,16,5,0,0,carotte
greenwar-v0.2.6-209,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,2,1,8,5,22,17,12,10,15,12,0,0,carotte
greenwar-v0.2.6-210,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,5,2,17,9,8,8,14,6,0,0,roseau
greenwar-v0.2.6-211,2>1,random,random,2,Hydrophytes,domination,5,0,1,0,4,4,4,12,8,4,6,13,7,0,0,algue
greenwar-v0.2.6-212,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,5,5,23,14,10,10,18,9,0,0,roseau
greenwar-v0.2.6-213,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,2,2,7,4,19,17,8,8,16,14,0,0,carotte
greenwar-v0.2.6-214,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,7,4,17,15,12,10,10,10,0,0,roseau
greenwar-v0.2.6-215,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,2,2,7,6,18,13,10,8,13,10,0,0,carotte
greenwar-v0.2.6-216,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,7,6,22,15,10,10,17,10,0,0,roseau
greenwar-v0.2.6-217,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,5,4,15,13,6,8,14,10,0,0,roseau
greenwar-v0.2.6-218,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,3,6,7,17,14,8,8,14,11,0,0,roseau
greenwar-v0.2.6-219,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,3,3,8,5,26,14,14,10,17,9,0,0,tomate
greenwar-v0.2.6-220,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,2,1,7,3,25,16,10,8,20,13,0,0,carotte
greenwar-v0.2.6-221,2>1,random,random,2,Hydrophytes,domination,5,0,1,2,4,7,5,12,8,8,6,9,7,0,0,algue
greenwar-v0.2.6-222,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,2,2,8,4,25,19,14,12,16,12,0,0,carotte
greenwar-v0.2.6-223,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,2,6,5,16,12,8,10,13,7,0,0,roseau
greenwar-v0.2.6-224,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,2,0,6,5,16,12,6,10,15,7,0,0,
greenwar-v0.2.6-225,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,3,4,6,13,14,6,10,12,9,0,0,roseau
greenwar-v0.2.6-226,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,2,1,7,5,26,7,12,6,19,6,0,1,carotte
greenwar-v0.2.6-227,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,6,5,25,12,12,8,18,9,0,0,roseau
greenwar-v0.2.6-228,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,6,5,17,13,10,12,12,6,1,0,roseau
greenwar-v0.2.6-229,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,2,1,8,4,23,12,12,8,16,9,0,0,carotte
greenwar-v0.2.6-230,2>1,random,random,2,Hydrophytes,domination,6,0,1,2,4,6,7,18,18,8,10,15,13,0,0,roseau
greenwar-v0.2.6-231,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,2,4,6,23,17,10,12,18,10,0,0,roseau
greenwar-v0.2.6-232,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,3,6,6,25,17,12,10,18,12,0,0,roseau
greenwar-v0.2.6-233,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,1,0,8,5,27,21,14,12,18,14,0,0,carotte
greenwar-v0.2.6-234,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,5,6,18,11,8,8,15,8,0,0,roseau
greenwar-v0.2.6-235,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,2,5,5,18,14,8,10,15,9,0,0,roseau
greenwar-v0.2.6-236,2>1,random,random,2,Hydrophytes,domination,5,0,1,0,4,5,4,14,14,6,6,13,13,0,0,roseau
greenwar-v0.2.6-237,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,7,5,18,18,10,10,13,13,0,0,nenuphar
greenwar-v0.2.6-238,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,2,2,7,6,19,15,10,10,14,10,0,0,tomate
greenwar-v0.2.6-239,2>1,random,random,2,Hydrophytes,domination,5,0,1,3,4,7,6,21,14,10,10,16,9,0,0,roseau
greenwar-v0.2.6-240,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,2,1,7,6,25,16,12,12,18,9,0,0,carotte
greenwar-v0.2.6-241,2>1,random,random,2,Hydrophytes,domination,5,0,1,1,4,7,6,18,12,10,8,13,9,0,0,roseau
greenwar-v0.2.6-242,2>1,random,random,2,Hydrophytes,domination,6,0,1,0,4,5,6,18,16,6,12,17,9,0,0,roseau
greenwar-v0.2.6-243,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,2,1,6,4,23,8,10,6,18,7,0,0,carotte
greenwar-v0.2.6-244,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,6,6,15,14,8,8,12,11,0,0,roseau
greenwar-v0.2.6-245,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,2,3,8,5,20,13,12,8,13,10,0,0,roseau
greenwar-v0.2.6-246,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,6,5,23,15,10,8,18,12,0,0,roseau
greenwar-v0.2.6-247,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,6,6,21,18,10,12,16,11,0,0,roseau
greenwar-v0.2.6-248,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,1,1,7,4,20,17,8,6,17,16,0,0,carotte
greenwar-v0.2.6-249,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,2,7,6,15,12,8,8,12,9,0,0,nenuphar
greenwar-v0.2.6-250,2>1,random,random,1,Nourricières,tiebreak-ressources,6,0,0,1,1,6,6,26,17,10,10,21,12,0,0,carotte
greenwar-v0.2.6-251,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,3,2,8,4,24,14,12,8,17,11,0,0,carotte
greenwar-v0.2.6-252,2>1,random,random,2,Hydrophytes,domination,5,0,1,0,6,4,7,16,14,6,10,15,9,0,0,roseau
greenwar-v0.2.6-253,2>1,random,random,2,Hydrophytes,tiebreak-unites,6,0,1,1,1,5,7,18,12,6,10,17,7,0,0,roseau
greenwar-v0.2.6-254,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,2,0,8,4,18,15,10,8,13,12,0,0,haricot
greenwar-v0.2.6-255,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,2,2,7,4,19,14,8,8,16,11,0,0,carotte
greenwar-v0.2.6-256,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,3,1,7,5,22,16,12,10,15,11,0,0,haricot
greenwar-v0.2.6-257,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,3,3,6,19,17,4,10,20,12,0,0,roseau
greenwar-v0.2.6-258,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,6,7,18,17,10,10,13,12,0,0,roseau
greenwar-v0.2.6-259,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,2,2,7,4,21,11,12,8,14,8,0,0,haricot
greenwar-v0.2.6-260,2>1,random,random,1,Nourricières,tiebreak-ressources,6,0,0,2,2,6,6,18,13,8,10,15,8,0,0,carotte
greenwar-v0.2.6-261,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,6,7,19,14,8,10,16,9,0,0,nenuphar
greenwar-v0.2.6-262,2>1,random,random,2,Hydrophytes,domination,5,0,1,2,4,7,6,21,11,12,10,14,6,0,0,nenuphar
greenwar-v0.2.6-263,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,2,2,7,6,22,19,10,10,17,14,0,0,carotte
greenwar-v0.2.6-264,2>1,random,random,2,Hydrophytes,domination,6,0,1,0,4,7,4,19,13,8,6,16,12,1,0,roseau
greenwar-v0.2.6-265,2>1,random,random,2,Hydrophytes,domination,6,0,1,1,4,6,6,18,18,8,8,15,15,0,0,algue
greenwar-v0.2.6-266,2>1,random,random,2,Hydrophytes,domination,5,0,1,0,5,4,7,12,11,6,10,11,6,1,0,roseau
greenwar-v0.2.6-267,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,6,3,15,15,8,6,12,14,0,0,roseau
greenwar-v0.2.6-268,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,2,3,7,6,19,12,10,8,14,9,0,0,roseau
greenwar-v0.2.6-269,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,3,1,7,6,22,16,8,10,19,11,0,0,carotte
greenwar-v0.2.6-270,2>1,random,random,2,Hydrophytes,tiebreak-unites,6,0,1,2,2,6,7,21,14,10,14,16,5,0,0,roseau
greenwar-v0.2.6-271,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,2,6,5,21,15,10,10,16,10,0,0,roseau
greenwar-v0.2.6-272,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,6,5,17,17,10,10,12,12,0,0,roseau
greenwar-v0.2.6-273,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,2,3,6,7,20,14,10,10,15,9,0,0,nenuphar
greenwar-v0.2.6-274,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,1,0,5,4,21,13,6,6,20,12,0,0,carotte
greenwar-v0.2.6-275,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,2,3,8,4,22,13,12,6,15,12,0,0,roseau
greenwar-v0.2.6-276,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,2,2,8,7,20,16,12,8,13,13,0,0,haricot
greenwar-v0.2.6-277,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,2,2,6,5,25,10,10,8,20,7,0,0,carotte
greenwar-v0.2.6-278,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,6,4,18,16,10,12,13,9,0,0,roseau
greenwar-v0.2.6-279,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,5,5,21,13,8,8,18,10,0,0,roseau
greenwar-v0.2.6-280,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,6,4,18,14,6,8,17,11,0,0,nenuphar
greenwar-v0.2.6-281,2>1,random,random,2,Hydrophytes,domination,5,0,1,0,4,6,5,17,9,8,4,14,10,0,0,algue
greenwar-v0.2.6-282,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,2,0,8,4,24,11,10,6,19,10,0,0,carotte
greenwar-v0.2.6-283,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,1,7,5,17,13,8,8,14,10,0,0,nenuphar
greenwar-v0.2.6-284,2>1,random,random,2,Hydrophytes,domination,6,0,1,0,4,7,7,24,13,14,10,15,8,0,0,roseau
greenwar-v0.2.6-285,2>1,random,random,2,Hydrophytes,domination,5,0,1,1,4,5,4,20,12,10,8,15,9,0,0,roseau
greenwar-v0.2.6-286,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,1,0,5,6,20,13,10,8,15,10,1,0,tomate
greenwar-v0.2.6-287,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,1,1,7,5,23,13,12,8,16,10,0,0,tomate
greenwar-v0.2.6-288,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,2,1,8,5,25,15,12,10,18,10,0,0,carotte
greenwar-v0.2.6-289,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,6,5,21,13,12,10,14,8,0,0,algue
greenwar-v0.2.6-290,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,2,2,6,5,18,11,8,8,15,8,0,0,carotte
greenwar-v0.2.6-291,2>1,random,random,2,Hydrophytes,domination,6,0,1,1,5,6,7,20,15,8,10,17,10,0,0,roseau
greenwar-v0.2.6-292,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,2,1,8,4,24,20,14,12,15,13,0,0,carotte
greenwar-v0.2.6-293,2>1,random,random,2,Hydrophytes,domination,5,0,1,0,4,4,5,16,10,6,6,15,9,0,0,roseau
greenwar-v0.2.6-294,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,1,1,8,4,26,13,10,8,21,10,0,0,carotte
greenwar-v0.2.6-295,2>1,random,random,1,Nourricières,tiebreak-terrains,6,0,0,2,1,8,4,22,13,14,8,13,10,0,0,carotte
greenwar-v0.2.6-296,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,2,5,4,14,10,8,8,11,7,0,0,roseau
greenwar-v0.2.6-297,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,1,3,6,6,19,16,8,10,16,11,0,0,roseau
greenwar-v0.2.6-298,2>1,random,random,1,Nourricières,tiebreak-unites,6,0,0,2,2,8,4,23,14,10,6,18,13,0,0,carotte
greenwar-v0.2.6-299,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,0,2,7,5,25,16,12,10,18,11,0,0,roseau
greenwar-v0.2.6-300,2>1,random,random,2,Hydrophytes,tiebreak-terrains,6,0,1,2,3,8,5,20,9,10,6,15,8,0,2,roseau
